09/15/16,"“Niño Verde” llega a Congreso de Quintana Roo","http://yucatan.com.mx/qroo/politica/nino-verde-llega-congreso-quintana-roo","CHETUMAL, Quintana Roo (El Universal).- La recién instalada XV Legislatura designará este lunes, a través de una votación, las 25 comisiones del Congreso de Quintana Roo, entre ellas la Gran Comisión. Hasta dicha sede llegó Jorge Emilio González, “El Niño Verde”, donde dijo que acudió para tratar “de salvar la elección de comisiones para su [&#8230;]","Yucatan"
09/15/16,"En riesgo el equilibrio ambiental en lagunas de Cancún por cocodrilos","http://yucatan.com.mx/qroo/riesgo-equilibrio-ambiental-lagunas-cancun-cocodrilos","Cancún, (Notimex).- La presencia de cocodrilos con las zonas pobladas de Cancún genera una percepción de amenaza para los humanos, en la que hay implícita una desinformación, e incluso falta de respeto a su hábitat, manifestó el especialista en estos animales, Javier Carballar Osorio. Sostuvo que hace falta trabajo de investigación de esta especie, de [&#8230;]","Yucatan"
09/15/16,"El PRI pierde la mayoría","http://yucatan.com.mx/qroo/pri-pierde-la-mayoria","En el Congreso de Quintana Roo se alía la oposición","Yucatan"
09/15/16,"Ganan el control al PRI y al Verde","http://yucatan.com.mx/qroo/ganan-control-al-pri-al-verde","Alianza opositora lidera el Congreso en Quintana Roo","Yucatan"
09/15/16,"Cozumel suma cerca de tres mil nidos de tortuga marina","http://yucatan.com.mx/qroo/breves-de-quintana-roo/cozumel-suma-cerca-tres-mil-nidos-tortuga-marina","Cozumel, (Notimex).- Los programas de conservación que emprendieron autoridades ambientales comienzan a rendir frutos pues hasta agosto el registro es de dos mil 722 nidos de tortuga marina a lo largo de la costa oriental de la Isla de las Golondrinas. El subdirector de la oficina municipal de Ecología, Rafael Chacón Díaz, dijo en entrevista [&#8230;]","Yucatan"
09/15/16,"Debate sobre el fuero","http://yucatan.com.mx/qroo/debate-sobre-el-fuero","Incluirán el tema en la agenda de la XV Legislatura","Yucatan"
09/15/16,"Reunión formal del cambio de gobierno","http://yucatan.com.mx/qroo/reunion-formal-del-cambio-gobierno","Ayer se comenzó oficialmente la entrega recepción","Yucatan"
09/15/16,"Conectará Nueva York y Cancún","http://yucatan.com.mx/qroo/conectara-nueva-york-cancun","Interjet inaugura vuelo como parte de su expansión","Yucatan"
09/15/16,"Varios ejemplares de tiburón ballena","http://yucatan.com.mx/qroo/varios-ejemplares-tiburon-ballena","Avistamiento de la especie en las playas del Estado","Yucatan"
09/15/16,"Principal mercado","http://yucatan.com.mx/qroo/principal-mercado","Cancún,  clave en el crecimiento   de Magnicharters","Yucatan"
09/15/16,"Borge regresa a sus actividades","http://yucatan.com.mx/qroo/borge-regresa-actividades","El mandatario se reincorpora tras una operación","Yucatan"
09/15/16,"Analizan la situación en Quintana Roo","http://yucatan.com.mx/qroo/analizan-la-situacion-quintana-roo","Propuestas para la administración de Carlos Joaquín","Yucatan"
09/15/16,"Cancún se prepara ante paso de tormenta","http://yucatan.com.mx/qroo/cancun-se-prepara-ante-paso-tormenta","Cancún,  (Notimex).- Personal de diversas dependencias emprendió una serie de acciones preventivas para evitar afectaciones mayores ante el paso de la tormenta tropical Hermine. El Ayuntamiento de Benito Juárez, a través de las secretarías de Obras Pública y Servicios Municipales, realiza labores preventivas ante el pronóstico de lluvias de regulares a fuertes que se estima [&#8230;]","Yucatan"
09/15/16,"Desalojan a grupo de “paracaidistas”","http://yucatan.com.mx/qroo/desalojan-grupo-paracaidistas","Operación pacífica para liberar 30 casas en Cancún","Yucatan"
09/15/16,"Un aumento “inmoral”","http://yucatan.com.mx/qroo/un-aumento-inmoral","Llama diputado panista a  derogar  millonaria partida","Yucatan"
09/15/16,"Habitantes de Quintana Roo, los más “endeudados”","http://yucatan.com.mx/qroo/economia-qroo/habitantes-quintana-roo-los-mas-endeudados","CANCÚN, Quintana Roo (El Universal).- Los gobernantes de Quintana Roo han dejado empeñados a sus pobladores. Este lugar característico del Caribe mexicano tiene la deuda por habitante más alta de México. La entidad gobernada por Roberto Borge Angulo, adeuda 22 mil millones 435 pesos, de acuerdo con información de la Secretaría de Hacienda y Crédito Público [&#8230;]","Yucatan"
09/15/16,"Solicita apoyo para Quintana Roo","http://yucatan.com.mx/qroo/solicita-apoyo-q-roo","Carlos Joaquín participa en la plenaria del PRD","Yucatan"
09/15/16,"Falta igualdad política","http://yucatan.com.mx/qroo/falta-igualdad-politica","Josefina Vázquez Mota: las mujeres están preparadas","Yucatan"
09/15/16,"Alumnos destacan en una evaluación","http://yucatan.com.mx/qroo/alumnos-destacan-una-evaluacion","Los resultados en el Estado superan la media nacional","Yucatan"
09/15/16,"Piden acabar el “oscurantismo”","http://yucatan.com.mx/qroo/piden-acabar-oscurantismo","Proponen agenda de trabajo para la XV Legislatura","Yucatan"
09/15/16,"Nivelan las playas","http://yucatan.com.mx/qroo/nivelan-las-playas","Buscan en Cancún dar mejor imagen a la zona hotelera","Yucatan"
09/15/16,"Estrenan una embarcación","http://yucatan.com.mx/qroo/estrenan-una-embarcacion","Nuevo ferry para cubrir la demanda de carga y pasaje","Yucatan"
09/15/16,"Josefina Vázquez Mota estará presente en un foro ciudadano","http://yucatan.com.mx/qroo/josefina-vazquez-mota-estara-presente-foro-ciudadano","Josefina Vázquez Mota ofrece apoyo en una campaña","Yucatan"
09/15/16,"Presentan amparos contra “paquete de impunidad” en Quintana Roo","http://yucatan.com.mx/qroo/presentan-amparos-paquete-impunidad-quintana-roo","CANCÚN, Quintana Roo (El Universal).- La asociación Ciudadanos por la Transparencia (CITRA), junto con habitantes de Quintana Roo, presentaron una decena de amparos en contra del llamado “paquete de impunidad”, ante Juzgados de Distrito, radicados en Cancún. El presidente de la agrupación, Juan Ignacio Athie Lambarri, calificó como “inédita” la medida ciudadana, al ser la [&#8230;]","Yucatan"
09/15/16,"Se inicia “lucha” contra reformas","http://yucatan.com.mx/qroo/se-inicia-lucha-reformas","Organización civil anuncia un plan en Quintana Roo","Yucatan"
09/15/16,"Investigan a funcionarios","http://yucatan.com.mx/qroo/investigan-a-funcionarios","El SAT analiza el caso de presunto despojo de bienes","Yucatan"
09/15/16,"En busca de la transparencia","http://yucatan.com.mx/qroo/busca-la-transparencia-2","Carlos Joaquín, en reunión hoy con el presidente del país","Yucatan"
09/15/16,"Extirpan a Borge la  vesícula","http://yucatan.com.mx/qroo/extirpan-borge-la-vesicula","La recuperación del gobernador de Q. Roo, de 5 días","Yucatan"
